_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
310,Highland Heights Jr P.S.,115,96.5,0.9,96.5,0.9,43.79441991,-79.30026235
311,Highland Jr High School,482,94,1,96.9,1,43.80686038,-79.35544809
312,Highview P.S.,101,89.1,0,90.1,0,43.72195105,-79.49723027
313,Hillcrest Community School,224,94.2,4.5,94.2,4.5,43.67904245,-79.41584478
314,Hillmount P.S.,121,93.4,2.5,94.2,2.5,43.79940759,-79.35072651
315,Hilltop Middle School,558,91.9,3.6,94.3,3.6,43.68946274,-79.53306701
316,Hodgson Sr P.S.,528,93.9,2.7,95.6,2.7,43.701095,-79.38479329
317,Hollycrest Middle School,475,90.7,3.4,94.3,3.4,43.65610422,-79.58270785
318,Hollywood P.S.,224,97.3,0.9,97.3,0.9,43.77051851,-79.39182913
319,Holy Angels C.S.,368,88,2.2,90.2,2.2,43.62840926,-79.517657259999993
320,Holy Child C.S.,227,87.7,0,91.2,0,43.72888587,-79.61918187
321,Holy Cross C.S.,239,87.4,0.8,88.3,0.8,43.68998755,-79.34067637
322,Holy Family C.S.,167,82,1.2,83.2,1.2,43.63875022,-79.434911
323,Holy Name C.S.,234,87.6,1.7,91,1.7,43.6773475,-79.34728484
324,Holy Rosary C.S.,193,87.6,1.6,87.6,1.6,43.68504731,-79.41404533
325,Holy Spirit C.S.,324,84.3,0,85.8,0,43.78120775,-79.30309624
326,Horizon Alternative Sr School,67,85.1,7.5,91,7.5,43.65797846,-79.42199861
327,Howard Jr P.S.,328,94.8,4.3,94.8,4.3,43.65029872,-79.45199586
328,Humber Summit Middle School,450,88.4,1.1,90.7,1.1,43.75056475,-79.56452219
329,Humber Valley Village JMS,291,91.1,5.5,92.8,5.5,43.6655283,-79.52733737
330,Humbercrest P.S.,494,94.5,2.6,96.4,2.6,43.66045265,-79.49105537
331,Humberside C.I.,1195,84.1,2.6,96.2,2.6,43.65994272,-79.4706428
332,Humberwood Downs JMA,554,95.8,0.4,96.4,0.4,43.72888587,-79.61918187
333,Humewood Community School,410,93.7,3.9,95.1,3.7,43.68663509,-79.42802045
334,Hunter's Glen Jr P.S.,302,92.1,0.7,94.4,0.7,43.74571225,-79.26012199
335,Huron Street Jr P.S.,202,93.6,4.5,95.5,4.5,43.67103818,-79.4024111
336,Immaculate Conception C.S.,340,92.4,0,93.2,0,43.69768014,-79.4778217
337,Immaculate Heart of Mary C.S.,120,90.8,1.7,90.8,1.7,43.6961448,-79.262458
338,Indian Road Crescent Jr P.S.,204,94.1,4.4,95.1,4.4,43.66252873,-79.4600779
339,Inglenook Community School,50,78,4,88,6,43.65397529,-79.35940072
340,Inglewood Heights Jr P.S.,140,91.4,1.4,90.7,1.4,43.78046514,-79.29090549
341,Ionview P.S.,262,93.9,0,94.7,0,43.73761289,-79.27469827
342,Iroquois Jr P.S.,240,99.2,0,99.2,0,43.80268016,-79.26944081
343,Island Public/Natural Science School,154,95.5,3.2,96.1,3.2,43.61570028,-79.37838814
344,Islington JMS,342,92.1,1.8,93,1.8,43.64748282,-79.52794669
345,J B Tyrrell Sr P.S.,415,90.8,1.2,96.4,1.4,43.78887877,-79.32417507
346,J G Workman P.S.,136,93.4,0,94.1,0,43.70719126,-79.26712793
347,J R Wilcox Community School,186,94.6,2.7,93.5,2.7,43.69494679,-79.43630526
348,Jack Miner Sr P.S.,197,93.4,1,97.5,1,43.74968863,-79.18696834
349,Jackman Avenue Jr P.S.,414,94.4,4.1,94.4,4.3,43.68065022,-79.35393536
350,James Cardinal McGuigan Catholic H.S.,794,76.8,0.4,85.1,0.4,43.76328957,-79.4937986
351,James Culnan C.S.,346,91.3,0.6,93.6,0.6,43.66110712,-79.48558425
352,James S Bell JMS,318,91.2,4.1,92.8,4.1,43.59435423,-79.5301917
353,Jarvis C.I.,638,86.8,0.9,95.5,0.8,43.6662522,-79.37803485
354,Jean Vanier Catholic S.S.,821,82.7,0.5,91.6,0.4,43.73793993,-79.25841437
355,Jesse Ketchum Jr & Sr P.S.,345,89.6,3.2,90.7,3.2,43.67298262,-79.39213923
356,John A Leslie P.S.,383,93,0.3,93.7,0.3,43.71412189,-79.24885208
357,John Buchan Sr P.S.,184,90.2,0,94,0,43.78520343,-79.30085689
358,John D Parker Jr School,253,97.6,0.4,96.4,0.4,43.75338681,-79.59579099
359,John English JMS,698,91.7,3.6,93.6,3.6,43.61185573,-79.494418
360,John Fisher Jr P.S.,292,92.8,3.8,94.5,3.8,43.71192825,-79.39746938
361,John G Althouse Middle School,480,93.1,2.9,96,2.9,43.66811641,-79.55416146
362,John G Diefenbaker P.S.,171,94.7,2.9,96.5,2.9,43.80229503,-79.17186953
363,John McCrae P.S.,404,93.3,1.5,94.8,1.5,43.74404425,-79.23988651
364,John Polanyi C.I.,743,79.1,1.6,87.9,1.6,43.71780895,-79.43985531
365,John Ross Robertson Jr P.S.,372,96.2,2.4,96.2,2.4,43.71832598,-79.4088643
366,John Wanless Jr P.S.,443,98.9,1.1,98.6,1.1,43.72877873,-79.41179965
