school_name,enrolled_population,dtp_coverage_rate_percent,dtp_religious_exemption_rate_percent,mmr_coverage_rate_percent,mmr_religious_exemption_rate_percent
Charles E Webster P.S.,311,95.8,1,96.8,1
Charles G Fraser Jr P.S.,138,92.8,2.2,94.9,2.2
Charles Gordon Senior P.S.,328,87.8,2.1,94.5,2.1
Charles H Best Middle School,347,86.7,1.7,89.3,1.7
Charlottetown Jr P.S.,260,95,4.6,95,4.6
Chartland Jr P.S.,117,98.3,0.9,95.7,0.9
Cherokee P.S.,112,93.8,3.6,94.6,3.6
Chester Elementary School,277,96.8,1.8,96.8,1.8
Chester Le Jr P.S.,87,87.4,5.7,88.5,5.7
Chief Dan George P.S.,231,94.4,0.9,96.5,0.9
Chine Drive P.S.,106,93.4,4.7,92.5,4.7
Church Street Jr P.S.,188,90.4,1.1,90.4,1.1
Churchill Heights P.S.,306,97.1,1,98,1
Churchill P.S.,234,96.2,2.1,94.9,2.1
City School,81,79,11.1,87.7,11.1
City View Alternative Sr,54,77.8,20.4,79.6,20.4
Claireville Jr School,144,97.2,1.4,94.4,1.4
Clairlea P.S.,415,92.5,2.9,95.2,2.9
Claude Watson School for The Arts,300,94.3,3,96.7,3
Cliffside P.S.,142,97.2,1.4,95.8,1.4
Cliffwood P.S.,198,97,1,96.5,1
Clinton Street Jr P.S.,273,95.6,2.9,96,2.6
College Francais elementaire,118,70.3,3.4,79.7,3.4
Greenland P.S.,81,96.3,2.5,95.1,2.5
College Francais Secondaire,154,77.9,4.5,87,4.5
Contact Alternative School,35,68.6,5.7,94.3,5.7
Cordella Jr P.S.,77,94.8,2.6,93.5,2.6
Cornell Jr P.S.,464,96.3,0.2,95.9,0.2
Corvette Jr P.S.,349,94.6,0.9,95.4,0.9
Cosburn Middle School,641,91.6,1.9,96.7,1.9
Cottingham Jr P.S.,100,96,3,96,3
Courcelette P.S.,215,91.2,6.5,93,6.5
Crescent Town Elementary,258,93.4,1.2,95,1.2
Cresthaven P.S.,167,95.2,3.6,95.2,3.6
Crestview P.S.,177,98.3,0,96.6,0
Cummer Valley Middle School,418,97.4,0.2,94.5,0.2
D A Morrison Middle School,426,92.5,2.1,95.1,2.3
Da Vinci School,47,57.4,36.2,59.6,36.2
Dallington P.S.,273,96.3,1.8,97.1,1.8
Danforth C. I. and Technical School,945,86.8,2.2,96.4,2.2
Danforth Gardens P.S.,356,93.3,0.8,92.1,0.8
Dante Alighieri Academy,785,82.2,0.6,92.6,0.6
D'Arcy McGee C.S.,217,94.5,0,95.4,0
David and Mary Thomson C.I.,937,87,1,94.7,1
David Hornell Jr School,140,91.4,4.3,91.4,4.3
David Lewis P.S.,344,95.1,0,95.9,0
Davisville Jr P.S.,304,96.1,2,95.7,2
Daystrom P.S.,235,96.6,0,98.3,0
Deer Park Jr & Sr P.S.,404,91.6,3.2,94.1,3.2
Delphi Secondary Alternative,84,79.8,3.6,94,3.6
Delta Senior Alternative,60,88.3,10,88.3,10
Denlow P.S.,259,96.5,3.1,96.5,2.7
Dennis Avenue Community School,54,90.7,3.7,94.4,3.7
Derrydown P.S.,231,94.8,2.2,94.8,2.2
Dewson Street Jr P.S.,300,93.3,5.3,93.7,5.3
Diefenbaker Elementary,247,91.9,4.5,94.7,4.5
Dixon Grove JMS,594,89.9,0.3,93.9,0.3
Don Mills C.I.,935,86.5,1.9,95.7,1.9
Don Mills Middle School,409,88.8,2.4,93.4,2.4
Don Valley Jr H.S.,363,92.6,0.6,96.4,0.6
Donview Middle Health & Wellness Academy,356,85.4,1.7,92.4,1.7
Donwood Park Jr P.S.,449,90.9,2.2,91.5,2.2
Dorset Park P.S.,159,91.8,0.6,96.2,0.6
Dovercourt P.S.,293,91.8,2.7,93.2,2.7
Downsview P.S.,121,95.9,1.7,95,1.7
Downsview S.S.,501,79.2,2,90.2,2
Downtown Alternative School,66,92.4,6.1,90.9,6.1
Downtown Vocal Music Academy of Toronto,47,87.2,6.4,89.4,6.4
Dr Marion Hilliard Sr P.S.,269,89.6,1.5,96.3,1.5
Dr Norman Bethune C.I.,932,90.1,0.2,98,0.2
Drewry S.S.,49,81.6,2,89.8,2
Driftwood P.S.,240,90.4,0.4,92.1,0.4
Dublin Heights EMS,631,91,3.3,91.9,3.5
Duke of Connaught Jr & Sr P.S.,695,94.2,3,96,3
Dundas Jr P.S.,206,95.1,2.4,94.2,2.4
Dunlace P.S.,209,96.7,1.9,95.7,1.9
Earl Beatty Jr & Sr P.S.,277,95.3,4.3,94.9,4.3
Earl Grey Sr P.S.,452,89.6,2.4,96.7,2.4
Earl Haig P.S.,372,94.4,2.4,96.8,2.4
Earl Haig S.S.,1810,87.3,1.2,96.6,1.2
East Alternative School of Toronto,62,91.9,3.2,96.8,3.2
East York Alternative S.S.,60,90,0,100,0
East York C.I.,1003,85.6,2.6,94.9,2.5
Eastdale C.I.,95,84.2,1.1,96.8,1.1
Eastview P.S.,226,86.3,0,89.4,0
Eatonville Junior School,131,96.2,0,95.4,0
Ecole elementaire Charles-Sauriol,205,84.9,0.5,86.8,0.5
Ecole elementaire etienne-Brule,151,76.8,1.3,86.1,1.3
Ecole elementaire Felix-Leclerc,124,79,5.6,80.6,5.6
Ecole elementaire Gabrielle-Roy,159,85.5,2.5,85.5,2.5
Ecole elementaire Jeanne-Lajoie,252,82.1,0.8,85.7,0.8
Ecole elementaire La Mosaique,273,88.6,5.5,90.8,5.1
Ecole elementaire Laure-Riese,174,78.7,3.4,78.2,3.4
Ecole elementaire Mathieu-Da-Costai,102,76.5,0,85.3,0
Ecole elementaire Micheline-Saint-Cyr,49,81.6,0,71.4,0
Ecole elementaire Paul-Demers,66,53,1.5,60.6,1.5
Ecole elementaire Pierre-Elliott-Trudeau,213,89.2,4.2,86.9,4.2
