school_name,enrolled_population,dtp_coverage_rate,mmr_coverage_rate
LORD DUFFERIN JUNIOR AND SENIOR PUBLIC SCHOOL,275,90.5,92.4
LORD LANSDOWNE JUNIOR PUBLIC SCHOOL,128,93.8,94.5
LORD ROBERTS JUNIOR PUBLIC SCHOOL,205,88.8,91.2
LORETTO ABBEY CATHOLIC SECONDARY SCHOOL,938,89.3,96.9
LORETTO COLLEGE SCHOOL,444,91.2,97.7
LUCY MAUD MONTGOMERY PUBLIC SCHOOL,124,98.4,99.2
LUCY MCCORMICK SENIOR SCHOOL,57,33.3,80.7
LYNNGATE JUNIOR PUBLIC SCHOOL,86,96.5,95.3
LYNNWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,82,93.9,89
MACKLIN PUBLIC SCHOOL,279,91.8,92.1
MADONNA CATHOLIC SECONDARY SCHOOL,676,87.9,93
MALVERN COLLEGIATE INSTITUTE,1114,88.4,96.1
MALVERN JUNIOR PUBLIC SCHOOL,197,87.8,92.4
MANHATTAN PARK JUNIOR PUBLIC SCHOOL,47,93.6,93.6
MAPLE LEAF PUBLIC SCHOOL,140,86.4,89.3
MAPLEWOOD HIGH SCHOOL,112,88.4,95.5
MARC GARNEAU COLLEGIATE INSTITUTE,1701,85.7,93.2
MARKET LANE JUNIOR AND SENIOR PUBLIC SCHOOL,170,90.6,90
MARSHALL MCLUHAN CATHOLIC SECONDARY SCHOOL,1087,90.6,96.5
MARTINGROVE COLLEGIATE INSTITUTE,1111,89.9,96.2
MARY SHADD PUBLIC SCHOOL,262,91.2,93.9
MARY WARD CATHOLIC SECONDARY SCHOOL,1041,90.8,96.3
MARYVALE PUBLIC SCHOOL,156,87.2,92.3
MASON ROAD JUNIOR PUBLIC SCHOOL,175,86.9,89.7
MAURICE CODY JUNIOR PUBLIC SCHOOL,268,94.8,96.6
MCKEE PUBLIC SCHOOL,308,93.5,92.2
MCMURRICH JUNIOR PUBLIC SCHOOL,288,89.6,90.3
MEADOWVALE PUBLIC SCHOOL,152,91.4,92.8
MELODY VILLAGE JUNIOR SCHOOL,88,97.7,96.6
MICHAEL POWER/ST JOSEPH HIGH SCHOOL,1887,88.1,94.8
MILITARY TRAIL PUBLIC SCHOOL,282,75.9,85.5
MILL VALLEY JUNIOR SCHOOL,60,90,90
MILLIKEN PUBLIC SCHOOL,159,95.6,95
MILLWOOD JUNIOR SCHOOL,185,96.8,96.8
MILNE VALLEY MIDDLE SCHOOL,580,92.6,93.3
MONARCH PARK COLLEGIATE INSTITUTE,829,88.4,95.9
MONSIGNOR FRASER COLLEGE (MIDLAND NORTH),99,83.8,98
MONSIGNOR FRASER COLLEGE (MIDTOWN),73,89,98.6
MONSIGNOR FRASER COLLEGE (NORTHEAST),34,85.3,97.1
MONSIGNOR FRASER COLLEGE (SOUTHWEST),44,75,93.2
MONSIGNOR FRASER COLLEGE (ST. MARTIN),15,26.7,93.3
MONSIGNOR PERCY JOHNSON CATHOLIC HIGH SCHOOL,964,86.7,94.7
MONTROSE JUNIOR PUBLIC SCHOOL,84,97.6,98.8
MORRISH PUBLIC SCHOOL,202,92.6,95
MORSE STREET JUNIOR PUBLIC SCHOOL,251,90.4,92.8
MOTHER CABRINI CATHOLIC SCHOOL,111,94.6,94.6
MOUNTVIEW ALTERNATIVE JUNIOR SCHOOL,51,92.2,92.2
MSGR FRASER COLLEGE (ALTERNATIVE STUDY) SECONDARY SCHOOL,170,80,98.2
MSGR FRASER COLLEGE (NORFINCH CAMPUS),114,71.9,87.7
MSGR FRASER-ISABELLA,56,57.1,89.3
MSGR FRASER-MIDLAND,72,72.2,87.5
MSGR JOHN CORRIGAN CATHOLIC SCHOOL,144,92.4,92.4
MUIRHEAD PUBLIC SCHOOL,109,79.8,75.2
NATIVE LEARNING CENTRE,20,65,80
NATIVITY OF OUR LORD CATHOLIC SCHOOL,277,90.3,90.3
NEIL MCNEIL HIGH SCHOOL,840,89.5,97
NELSON MANDELA PARK PUBLIC SCHOOL,195,92.3,92.8
NEWTONBROOK SECONDARY SCHOOL,857,80.4,86.3
NIAGARA STREET JUNIOR PUBLIC SCHOOL,97,90.7,92.8
NORMAN COOK JUNIOR PUBLIC SCHOOL,65,96.9,98.5
NORMAN INGRAM PUBLIC SCHOOL,85,94.1,96.5
NORSEMAN JUNIOR MIDDLE SCHOOL,496,97,97.2
NORTH AGINCOURT JUNIOR PUBLIC SCHOOL,225,92.4,95.1
NORTH ALBION COLLEGIATE INSTITUTE,790,88.4,97.1
NORTH BENDALE JUNIOR PUBLIC SCHOOL,64,90.6,95.3
NORTH BRIDLEWOOD JUNIOR PUBLIC SCHOOL,107,95.3,94.4
NORTH EAST YEAR ROUND ALTERNATIVE CENTRE,44,81.8,95.5
NORTH KIPLING JUNIOR MIDDLE SCHOOL,417,86.1,88.7
NORTH TORONTO COLLEGIATE INSTITUTE,1312,89.3,96.5
NORTH WEST YEAR ROUND ALTERNATIVE CENTRE,29,82.8,96.6
NORTHERN SECONDARY SCHOOL,1697,87.8,95.2
NORTHLEA ELEMENTARY AND MIDDLE SCHOOL,469,94.7,94.7
NORTHVIEW HEIGHTS SECONDARY SCHOOL,1598,86.9,92.2
NORWAY JUNIOR PUBLIC SCHOOL,142,89.4,95.1
NOTRE DAME CATHOLIC HIGH SCHOOL,665,89,97.3
OAKDALE PARK MIDDLE SCHOOL,419,87.6,91.9
OAKRIDGE JUNIOR PUBLIC SCHOOL,172,92.4,94.8
OAKWOOD COLLEGIATE INSTITUTE,399,86.7,94.5
OASIS ALTERNATIVE,97,78.4,88.7
O'CONNOR PUBLIC SCHOOL,55,92.7,94.5
OGDEN JUNIOR PUBLIC SCHOOL,87,95.4,95.4
ORDE STREET JUNIOR PUBLIC SCHOOL,211,82.5,83.4
ORIOLE PARK JUNIOR PUBLIC SCHOOL,114,96.5,95.6
OSSINGTON/OLD ORCHARD JUNIOR PUBLIC SCHOOL,148,88.5,91.2
OUR LADY OF FATIMA CATHOLIC SCHOOL,477,91.6,92.2
OUR LADY OF GRACE CATHOLIC SCHOOL,176,92,96
OUR LADY OF GUADALUPE CATHOLIC SCHOOL,99,87.9,83.8
OUR LADY OF LOURDES CATHOLIC SCHOOL,334,93.4,93.4
OUR LADY OF PEACE CATHOLIC SCHOOL,399,93.5,95
OUR LADY OF PERPETUAL HELP CATHOLIC SCHOOL,197,97.5,95.9
OUR LADY OF SORROWS CATHOLIC SCHOOL,515,95.5,95.9
OUR LADY OF THE ASSUMPTION CATHOLIC SCHOOL,240,84.6,78.8
OUR LADY OF VICTORY CATHOLIC SCHOOL,419,91.6,92.4
OUR LADY OF WISDOM CATHOLIC SCHOOL,205,95.1,93.7
OWEN PUBLIC SCHOOL,250,91.2,93.6
PALMERSTON AVENUE JUNIOR PUBLIC SCHOOL,212,92,91
ST MARK CATHOLIC SCHOOL,120,90.8,89.2
PAPE AVENUE JUNIOR PUBLIC SCHOOL,178,96.6,97.2
PARK LAWN JUNIOR AND MIDDLE SCHOOL,328,89,91.5
PARKDALE COLLEGIATE INSTITUTE,504,87.1,94.6
PARKDALE JUNIOR AND SENIOR PUBLIC SCHOOL,286,84.6,85.7
PARKFIELD JUNIOR SCHOOL,110,90,92.7
PARKSIDE ELEMENTARY SCHOOL,69,94.2,95.7
PARKVIEW ALTERNATIVE SCHOOL,72,84.7,97.2
PAULINE JOHNSON JUNIOR PUBLIC SCHOOL,119,90.8,95
PAULINE JUNIOR PUBLIC SCHOOL,134,87.3,87.3
PELMO PARK PUBLIC SCHOOL,121,82.6,86
PERCY WILLIAMS JUNIOR PUBLIC SCHOOL,158,86.7,92.4
PERTH AVENUE JUNIOR PUBLIC SCHOOL,134,85.8,87.3
PIERRE LAPORTE MIDDLE SCHOOL,404,86.6,88.4
PINEWAY PUBLIC SCHOOL,51,96.1,96.1
PLEASANT PUBLIC SCHOOL,249,89.6,90.8
PLEASANT VIEW MIDDLE SCHOOL,334,82.3,82.6
POPE FRANCIS CATHOLIC SCHOOL,161,92.5,93.8
POPLAR ROAD JUNIOR PUBLIC SCHOOL,138,97.1,98.6
PORT ROYAL PUBLIC SCHOOL,205,93.2,91.7
PORTAGE TRAIL COMMUNITY JUNIOR SCHOOL,443,85.3,89.6
PRECIOUS BLOOD CATHOLIC SCHOOL,298,89.6,89.9
PRESTEIGN HEIGHTS ELEMENTARY SCHOOL,101,94.1,93.1
PRINCE OF PEACE CATHOLIC SCHOOL,201,95.5,94.5
PRINCESS MARGARET JUNIOR SCHOOL,169,91.7,95.3
QUEEN ALEXANDRA MIDDLE SCHOOL,345,93.9,93.6
QUEEN VICTORIA JUNIOR PUBLIC SCHOOL,519,93.1,93.6
QUEST ALTERNATIVE SENIOR SCHOOL,66,87.9,90.9
R H KING ACADEMY,1264,88.9,97.5
R H MCGREGOR ELEMENTARY SCHOOL,307,94.8,94.1
ST MARTHA CATHOLIC SCHOOL,135,91.9,93.3
R J LANG ELEMENTARY AND MIDDLE SCHOOL,278,86.3,88.5
RANCHDALE PUBLIC SCHOOL,89,97.8,97.8
RAWLINSON COMMUNITY SCHOOL,427,93.7,94.4
REGAL ROAD JUNIOR PUBLIC SCHOOL,277,93.1,94.9
REGENT HEIGHTS PUBLIC SCHOOL,318,90.3,92.5
REGINA MUNDI CATHOLIC SCHOOL,237,94.9,95.8
RENE GORDON HEALTH AND WELLNESS ACADEMY,132,95.5,94.7
RICHVIEW COLLEGIATE INSTITUTE,1047,88.3,96.8
RIPPLETON PUBLIC SCHOOL,122,95.9,95.9
RIVERCREST JUNIOR SCHOOL,80,93.8,93.8
RIVERDALE COLLEGIATE INSTITUTE,1206,89.6,95.9
ROBERT SERVICE SENIOR PUBLIC SCHOOL,169,94.7,98.8
ROCKCLIFFE MIDDLE SCHOOL,303,91.1,91.1
ROCKFORD PUBLIC SCHOOL,336,78.6,80.7
RODEN PUBLIC SCHOOL,233,86.3,89.3
ROLPH ROAD ELEMENTARY SCHOOL,190,97.9,96.3
ROSE AVENUE JUNIOR PUBLIC SCHOOL,303,87.8,88.4
ROSEDALE HEIGHTS SCHOOL OF THE ARTS,1062,83.1,89.3
ROSEDALE JUNIOR PUBLIC SCHOOL,119,98.3,99.2
ROSELANDS JUNIOR PUBLIC SCHOOL,166,86.7,90.4
ROSETHORN JUNIOR SCHOOL,183,94,94
ROUGE VALLEY PUBLIC SCHOOL,146,97.3,98.6
ROYWOOD PUBLIC SCHOOL,84,95.2,95.2
RUNNYMEDE COLLEGIATE INSTITUTE,545,88.6,96.5
RUNNYMEDE JUNIOR AND SENIOR PUBLIC SCHOOL,601,96.7,97.3
RYERSON COMMUNITY SCHOOL,278,72.3,74.5
SACRED HEART CATHOLIC SCHOOL,170,92.9,93.5
SAMUEL HEARNE PUBLIC SCHOOL,376,86.4,90.2
SANTA MARIA CATHOLIC SCHOOL,137,93.4,94.2
SATEC at W A PORTER COLLEGIATE INSTITUTE,1199,89.3,95.7
SCARBOROUGH VILLAGE PUBLIC SCHOOL,121,90.1,93.4
SCHOOL OF EXPERIENTIAL EDUCATION,72,76.4,97.2
SCHOOL OF LIFE EXPERIENCE,120,85.8,95
SECOND STREET JUNIOR MIDDLE SCHOOL,298,89.3,91.6
SECORD ELEMENTARY SCHOOL,239,84.9,90
SEED ALTERNATIVE SCHOOL,75,80,93.3
SELWYN ELEMENTARY SCHOOL,128,95.3,96.1
SENATOR O'CONNOR COLLEGE SCHOOL,1364,90.1,95.3
SENECA HILL PUBLIC SCHOOL,150,99.3,98.7
SENECA SCHOOL,53,88.7,90.6
SEVENTH STREET JUNIOR SCHOOL,86,93,93
SHAUGHNESSY PUBLIC SCHOOL,126,98.4,98.4
SHEPPARD PUBLIC SCHOOL,67,98.5,95.5
SHIRLEY STREET JUNIOR PUBLIC SCHOOL,83,91.6,91.6
SHOREHAM PUBLIC SCHOOL,104,92.3,92.3
SILVER SPRINGS PUBLIC SCHOOL,221,95,94.1
SILVERTHORN COLLEGIATE INSTITUTE,879,83.8,93.9
SILVERTHORN COMMUNITY SCHOOL,201,87.6,90
SIR ADAM BECK JUNIOR SCHOOL,178,92.7,93.8
SIR ALEXANDER MACKENZIE SENIOR PUBLIC SCHOOL,398,93.5,95.7
SIR ERNEST MACMILLAN SENIOR PUBLIC SCHOOL,374,93.9,94.4
SIR JOHN A MACDONALD COLLEGIATE INSTITUTE,1130,89.3,95.2
SIR OLIVER MOWAT COLLEGIATE INSTITUTE,1074,89.3,96.9
SIR SAMUEL B STEELE JUNIOR PUBLIC SCHOOL,192,94.3,95.8
SIR WILFRID LAURIER COLLEGIATE INSTITUTE,1348,88.6,96.1
SIR WILLIAM OSLER HIGH SCHOOL,141,87.2,93.6
SLOANE PUBLIC SCHOOL,96,94.8,96.9
SMITHFIELD MIDDLE SCHOOL,637,93.4,94.5
SOUTH EAST YEAR ROUND ALTERNATIVE CENTRE,64,89.1,100
SPECTRUM ALTERNATIVE SENIOR SCHOOL,60,91.7,91.7
SPRUCECOURT JUNIOR PUBLIC SCHOOL,168,91.1,95.2
ST AGATHA CATHOLIC SCHOOL,244,96.3,97.5
ST AGNES CATHOLIC SCHOOL,207,84.1,82.6
ST AIDAN CATHOLIC SCHOOL,184,90.2,93.5
ST ALBERT CATHOLIC SCHOOL,281,94.3,94
ST ALPHONSUS CATHOLIC SCHOOL,140,90,91.4
ST AMBROSE CATHOLIC SCHOOL,219,90.9,92.7
ST ANDRE CATHOLIC SCHOOL,365,91,89.6
ST ANDREW CATHOLIC SCHOOL,459,85.8,89.8
ST ANDREWS MIDDLE SCHOOL,392,92.6,94.4
ST ANDREWS PUBLIC SCHOOL,191,93.7,94.2
ST ANGELA CATHOLIC SCHOOL,322,83.2,86.3
ST ANSELM CATHOLIC SCHOOL,233,94.8,96.1
ST ANTHONY CATHOLIC SCHOOL,207,88.4,91.8
ST ANTOINE DANIEL CATHOLIC SCHOOL,242,88.8,88.8
ST AUGUSTINE CATHOLIC SCHOOL,342,89.8,89.5
ST BARBARA CATHOLIC SCHOOL,207,90.3,90.3
ST BARNABAS CATHOLIC SCHOOL,187,98.4,97.9
ST BARTHOLOMEW CATHOLIC SCHOOL,52,94.2,94.2
ST BASIL-THE-GREAT COLLEGE SCHOOL,1304,89.3,95.4
ST BEDE CATHOLIC SCHOOL,93,96.8,97.8
ST BENEDICT CATHOLIC SCHOOL,385,91.7,92.5
ST BERNARD CATHOLIC SCHOOL,404,92.8,92.8
ST BONAVENTURE CATHOLIC SCHOOL,377,96,96
ST BONIFACE CATHOLIC SCHOOL,209,92.3,91.9
ST BRENDAN CATHOLIC SCHOOL,354,97.7,98.6
ST BRIGID CATHOLIC SCHOOL,355,92.4,93.8
ST BRUNO / ST RAYMOND CATHOLIC SCHOOL,149,85.9,87.2
ST CATHERINE CATHOLIC SCHOOL,71,84.5,87.3
ST CECILIA CATHOLIC SCHOOL,394,95.9,97.2
ST CHARLES CATHOLIC SCHOOL,176,95.5,94.3
ST CHARLES GARNIER CATHOLIC SCHOOL,270,90.4,90.7
ST CLARE CATHOLIC SCHOOL,254,92.1,94.5
ST CLEMENT CATHOLIC SCHOOL,283,96.1,96.5
ST CLEMENT CATHOLIC SCHOOL,328,37.2,81.1
ST COLUMBA CATHOLIC SCHOOL,134,90.3,92.5
ST CONRAD CATHOLIC SCHOOL,349,94.8,93.4
ST CYRIL CATHOLIC SCHOOL,178,96.6,96.6
ST DEMETRIUS CATHOLIC SCHOOL,166,86.1,90.4
ST DENIS CATHOLIC SCHOOL,179,94.4,94.4
ST DOMINIC SAVIO CATHOLIC SCHOOL,159,93.1,94.3
ST DOROTHY CATHOLIC SCHOOL,200,95.5,95
ST DUNSTAN CATHOLIC SCHOOL,142,90.8,90.8
ST EDMUND CAMPION CATHOLIC SCHOOL,156,98.7,96.8
ST EDWARD CATHOLIC SCHOOL,285,94.4,93.7
ST ELIZABETH CATHOLIC SCHOOL,147,89.1,91.2
ST ELIZABETH SETON CATHOLIC SCHOOL,103,92.2,95.1
ST EUGENE CATHOLIC SCHOOL,218,94.5,95.9
ST FIDELIS CATHOLIC SCHOOL,376,95.5,95.7
ST FLORENCE CATHOLIC SCHOOL,108,94.4,93.5
ST FRANCIS DE SALES CATHOLIC SCHOOL,280,90.4,89.6
ST FRANCIS OF ASSISI CATHOLIC SCHOOL,117,92.3,96.6
ST FRANCIS XAVIER CATHOLIC SCHOOL,326,89.6,91.1
ST GABRIEL CATHOLIC SCHOOL,186,86.6,86.6
ST GABRIEL LALEMANT CATHOLIC SCHOOL,97,95.9,96.9
ST GEORGE'S JUNIOR SCHOOL,81,95.1,95.1
ST GERALD CATHOLIC SCHOOL,180,86.7,87.2
ST GREGORY CATHOLIC SCHOOL,458,95,94.5
ST HELEN CATHOLIC SCHOOL,258,95.3,97.3
ST HENRY CATHOLIC SCHOOL,154,92.9,94.2
ST IGNATIUS OF LOYOLA CATHOLIC SCHOOL,76,94.7,92.1
ST ISAAC JOGUES CATHOLIC SCHOOL,201,92.5,92.5
ST JAMES CATHOLIC SCHOOL,113,94.7,95.6
ST JANE FRANCES CATHOLIC SCHOOL,436,92,93.3
ST JEAN DE BREBEUF CATHOLIC SCHOOL,140,96.4,97.9
ST JEROME CATHOLIC SCHOOL,317,88.6,91.5
ST JOACHIM CATHOLIC SCHOOL,173,97.1,98.3
ST JOHN BOSCO CATHOLIC SCHOOL,199,97.5,96.5
ST JOHN CATHOLIC SCHOOL,284,95.1,96.5
ST JOHN PAUL II CATHOLIC SECONDARY SCHOOL,1311,90.5,97.6
ST JOHN THE EVANGELIST CATHOLIC SCHOOL,259,92.7,93.1
ST JOHN VIANNEY CATHOLIC SCHOOL,234,94,91.9
ST JOHN XXIII CATHOLIC SCHOOL,264,86,84.5
ST JOSAPHAT CATHOLIC SCHOOL,90,83.3,82.2
ST JOSEPH CATHOLIC SCHOOL,125,98.4,97.6
ST JOSEPH'S COLLEGE SCHOOL,771,90.3,95.1
ST JOSEPHS MORROW PARK HIGH SCHOOL,468,85.9,89.5
ST JUDE CATHOLIC SCHOOL,475,92,94.1
ST KATERI TEKAKWITHA CATHOLIC SCHOOL,186,84.9,82.3
ST KEVIN CATHOLIC SCHOOL,150,98,98
ST LAWRENCE CATHOLIC SCHOOL,288,94.1,93.8
ST LEO CATHOLIC SCHOOL,168,93.5,94
ST LOUIS CATHOLIC SCHOOL,118,96.6,96.6
ST LUIGI CATHOLIC SCHOOL,79,93.7,92.4
ST MALACHY CATHOLIC SCHOOL,184,94,95.1
ST MARCELLUS CATHOLIC SCHOOL,242,86.8,88
ST MARGARET CATHOLIC SCHOOL,416,91.8,88.5
ST MARGARET'S PUBLIC SCHOOL,171,86.5,90.6
ST MARGUERITE BOURGEOYS CATHOLIC SCHOOL,58,96.6,98.3
ST MARIA GORETTI CATHOLIC SCHOOL,637,93.9,93.9
ST MARTIN DE PORRES CATHOLIC SCHOOL,257,89.1,91.4
ST MARY CATHOLIC SCHOOL,187,92.5,93.6
ST MARY OF THE ANGELS CATHOLIC SCHOOL,150,97.3,96
ST MARY'S CATHOLIC SECONDARY SCHOOL,690,83.5,89.4
ST MATTHEW CATHOLIC SCHOOL,338,97,97.3
ST MATTHIAS CATHOLIC SCHOOL,169,88.2,88.2
ST MAURICE CATHOLIC SCHOOL,170,94.1,95.3
ST MICHAEL CATHOLIC SCHOOL,105,87.6,96.2
ST MICHAEL'S CHOIR (JR) SCHOOL,167,93.4,94.6
ST MICHAEL'S CHOIR (SR) SCHOOL,89,86.5,95.5
ST MONICA CATHOLIC SCHOOL,195,90.3,93.8
ST MOTHER TERESA CATHOLIC ACADEMY,414,87.7,92
ST NICHOLAS CATHOLIC SCHOOL,232,95.3,95.3
ST NICHOLAS OF BARI CATHOLIC SCHOOL,393,96.9,97.5
ST NORBERT CATHOLIC SCHOOL,210,92.4,91
ST PASCHAL BAYLON CATHOLIC SCHOOL,450,89.6,86.2
ST PATRICK CATHOLIC SECONDARY SCHOOL,782,87,90.9
ST PAUL CATHOLIC SCHOOL,104,89.4,90.4
ST PIUS X CATHOLIC SCHOOL,315,95.2,95.2
ST RAPHAEL CATHOLIC SCHOOL,301,94,94
ST RENE GOUPIL CATHOLIC SCHOOL,118,50.8,51.7
ST RICHARD CATHOLIC SCHOOL,260,95,98.1
ST RITA CATHOLIC SCHOOL,51,96.1,100
ST ROBERT CATHOLIC SCHOOL,381,94.5,92.1
ST ROCH CATHOLIC SCHOOL,229,95.6,97.4
ST ROSE OF LIMA CATHOLIC SCHOOL,274,93.4,92.3
ST SEBASTIAN CATHOLIC SCHOOL,136,94.9,94.9
ST SIMON CATHOLIC SCHOOL,319,94,95
ST STEPHEN CATHOLIC SCHOOL,270,91.9,93.7
ST SYLVESTER CATHOLIC SCHOOL,110,97.3,96.4
ST TERESA CATHOLIC SCHOOL,170,88.8,91.8
ST THERESA SHRINE CATHOLIC SCHOOL,123,96.7,95.9
ST THOMAS AQUINAS CATHOLIC SCHOOL,331,92.1,94.3
ST THOMAS MORE CATHOLIC SCHOOL,208,92.8,94.7
ST TIMOTHY CATHOLIC SCHOOL,392,94.1,91.8
ST URSULA CATHOLIC SCHOOL,158,95.6,94.3
ST VICTOR CATHOLIC SCHOOL,203,95.1,95.1
ST VINCENT DE PAUL CATHOLIC SCHOOL,208,94.2,92.3
ST WILFRID CATHOLIC SCHOOL,411,84.9,85.9
STANLEY PUBLIC SCHOOL,175,90.3,93.7
STEELESVIEW PUBLIC SCHOOL,173,98.8,98.8
STELLA MARIS CATHOLIC SCHOOL,224,96,96.4
STEPHEN LEACOCK COLLEGIATE INSTITUTE,582,84.5,90.2
STILECROFT PUBLIC SCHOOL,100,94,95
STS COSMAS AND DAMIAN CATHOLIC SCHOOL,231,93.1,92.2
SUBWAY ACADEMY I,44,79.5,90.9
SUBWAY ACADEMY II,51,68.6,82.4
SUMMIT HEIGHTS PUBLIC SCHOOL,239,96.7,96.7
SUNNY VIEW JUNIOR AND SENIOR PUBLIC SCHOOL,57,89.5,87.7
SUNNYLEA JUNIOR SCHOOL,133,93.2,93.2
SWANSEA JUNIOR AND SENIOR PUBLIC SCHOOL,553,96.2,96.4
TAM O'SHANTER JUNIOR PUBLIC SCHOOL,161,90.1,90.7
TAYLOR CREEK PUBLIC SCHOOL,235,92.3,93.2
TECUMSEH SENIOR PUBLIC SCHOOL,263,89.4,93.5
TERRAVIEW-WILLOWFIELD PUBLIC SCHOOL,178,93.8,93.3
TERRY FOX PUBLIC SCHOOL,243,93,95.5
THE DIVINE INFANT CATHOLIC SCHOOL,77,94.8,94.8
THE ELMS JUNIOR MIDDLE SCHOOL,262,81.3,83.2
THE GROVE COMMUNITY SCHOOL,58,75.9,75.9
THE HOLY TRINITY CATHOLIC SCHOOL,210,91,95.2
THE STUDENT SCHOOL,66,78.8,93.9
THE WATERFRONT SCHOOL,121,81.8,86.8
THISTLETOWN COLLEGIATE INSTITUTE,467,83.5,94.6
THOMAS L WELLS PUBLIC SCHOOL,349,95.4,97.1
THORNCLIFFE PARK PUBLIC SCHOOL,829,85.3,89.1
THREE VALLEYS PUBLIC SCHOOL,138,96.4,96.4
TIMBERBANK JUNIOR PUBLIC SCHOOL,118,95.8,95.8
TOM LONGBOAT JUNIOR PUBLIC SCHOOL,148,94.6,96.6
TOPCLIFF PUBLIC SCHOOL,160,95,96.9
TRANSFIGURATION OF OUR LORD CATHOLIC SCHOOL,276,91.3,93.1
TREDWAY WOODSWORTH PUBLIC SCHOOL,511,97.1,96.9
TUMPANE PUBLIC SCHOOL,173,94.8,94.8
TWENTIETH STREET JUNIOR SCHOOL,71,87.3,87.3
URSULA FRANKLIN ACADEMY,525,87.8,95
VALLEY PARK MIDDLE SCHOOL,983,77.5,81
VALLEYFIELD JUNIOR SCHOOL,170,86.5,88.2
VENERABLE JOHN MERLINI CATHOLIC SCHOOL,174,96.6,98.3
VICTORIA PARK COLLEGIATE INSTITUTE,1215,89,96
VICTORIA PARK ELEMENTARY SCHOOL,72,98.6,100
VICTORIA VILLAGE PUBLIC SCHOOL,105,92.4,92.4
VRADENBURG JUNIOR PUBLIC SCHOOL,121,96.7,98.3
WALTER PERRY JUNIOR PUBLIC SCHOOL,154,83.1,92.9
WARREN PARK JUNIOR PUBLIC SCHOOL,87,85.1,86.2
WEDGEWOOD JUNIOR SCHOOL,181,93.4,94.5
WELLESWORTH JUNIOR SCHOOL,73,83.6,86.3
WEST END ALTERNATIVE SCHOOL,73,76.7,90.4
WEST GLEN JUNIOR SCHOOL,77,90.9,90.9
WEST HILL COLLEGIATE INSTITUTE,651,86.5,94.8
WEST HILL PUBLIC SCHOOL,136,85.3,85.3
WEST HUMBER COLLEGIATE INSTITUTE,1060,86.6,93.6
WEST HUMBER JUNIOR MIDDLE SCHOOL,308,96.8,95.1
WEST PREPARATORY JUNIOR PUBLIC SCHOOL,273,86.1,90.8
WEST ROUGE JUNIOR PUBLIC SCHOOL,160,87.5,89.4
WESTERN TECHNICAL & COMMERCIAL SCHOOL,1068,82.5,92.6
WESTMOUNT JUNIOR SCHOOL,99,89.9,91.9
WESTON COLLEGIATE INSTITUTE,928,86,94
WESTON MEMORIAL JUNIOR PUBLIC SCHOOL,128,88.3,90.6
WESTVIEW CENTENNIAL SECONDARY SCHOOL,821,79.4,90.7
WESTWAY JUNIOR SCHOOL,90,87.8,90
WESTWOOD MIDDLE SCHOOL,373,90.9,94.6
WEXFORD COLLEGIATE SCHOOL FOR THE ARTS,1121,85.8,95.2
WEXFORD PUBLIC SCHOOL,230,85.7,86.1
WHITE HAVEN JUNIOR PUBLIC SCHOOL,306,90.8,93.1
WHITNEY JUNIOR PUBLIC SCHOOL,127,96.9,96.1
WILKINSON JUNIOR PUBLIC SCHOOL,272,94.1,95.2
WILLIAM BURGESS ELEMENTARY SCHOOL,143,93,91.6
WILLIAM G DAVIS JUNIOR PUBLIC SCHOOL,125,98.4,98.4
WILLIAM G MILLER JUNIOR PUBLIC SCHOOL,325,90.5,93.8
WILLIAM J MCCORDIC SCHOOL,52,46.2,88.5
WILLIAM LYON MACKENZIE COLLEGIATE INSTITUTE,1407,87.9,93.5
WILLIAMSON ROAD JUNIOR PUBLIC SCHOOL,288,96.2,96.5
WILLOW PARK JUNIOR PUBLIC SCHOOL,186,88.2,90.9
WILLOWDALE MIDDLE SCHOOL,544,90.1,91.7
WILMINGTON ELEMENTARY SCHOOL,51,86.3,84.3
WINCHESTER JUNIOR AND SENIOR PUBLIC SCHOOL,297,90.9,92.6
WINDFIELDS MIDDLE SCHOOL,665,92,92.9
WINONA DRIVE SENIOR PUBLIC SCHOOL,414,92.5,94
WINSTON CHURCHILL COLLEGIATE INSTITUTE,561,89.3,95.5
WITHROW AVENUE JUNIOR PUBLIC SCHOOL,299,92,94
WOBURN COLLEGIATE INSTITUTE,900,90.9,97.9
WOBURN JUNIOR PUBLIC SCHOOL,185,90.3,89.2
WOODBINE JUNIOR HIGH SCHOOL,358,89.7,88.5
YORK HUMBER HIGH SCHOOL,154,89,94.8
YORK MEMORIAL COLLEGIATE INSTITUTE,887,89.5,96.2
YORK MILLS COLLEGIATE INSTITUTE,1233,89.5,96.4
YORKVIEW PUBLIC SCHOOL,175,93.1,93.1
YORKWOODS PUBLIC SCHOOL,180,87.8,90
ZION HEIGHTS JUNIOR HIGH SCHOOL,596,94,95.3
