school_name,enrolled_population,dtp_coverage_rate,mmr_coverage_rate
C R MARCHANT MIDDLE SCHOOL,422,87.7,89.1
C W JEFFERYS COLLEGIATE INSTITUTE,776,85.4,91.1
CALC SECONDARY SCHOOL,201,66.7,76.6
CALICO PUBLIC SCHOOL,147,76.2,78.2
CAMERON PUBLIC SCHOOL,135,95.6,95.6
CANADIAN MARTYRS CATHOLIC SCHOOL,196,94.4,95.9
CARDINAL CARTER ACADEMY FOR THE ARTS,808,86.3,95.9
CARDINAL LEGER CATHOLIC SCHOOL,193,96.9,97.9
CARLETON VILLAGE JUNIOR AND SENIOR PUBLIC SCHOOL,180,83.3,86.1
CASSANDRA PUBLIC SCHOOL,137,95.6,95.6
CEDAR DRIVE JUNIOR PUBLIC SCHOOL,343,96.2,95.9
CEDARBRAE COLLEGIATE INSTITUTE,1101,86.1,94.6
CEDARBROOK PUBLIC SCHOOL,367,91.8,94.3
CEDARVALE COMMUNITY SCHOOL,256,95.3,96.5
CENTENNIAL ROAD JUNIOR PUBLIC SCHOOL,138,94.2,96.4
CENTRAL ETOBICOKE HIGH SCHOOL,104,81.7,91.3
CENTRAL TECHNICAL SCHOOL,959,83.1,90.1
CENTRAL TORONTO ACADEMY,587,78.4,84.2
CHALKFARM PUBLIC SCHOOL,109,86.2,87.2
CHAMINADE COLLEGE SCHOOL,922,92.7,98.2
CHARLES E WEBSTER PUBLIC SCHOOL,263,91.3,90.9
CHARLES G FRASER JUNIOR PUBLIC SCHOOL,107,89.7,93.5
CHARLES GORDON SENIOR PUBLIC SCHOOL,330,89.1,90.3
CHARLES H BEST MIDDLE SCHOOL,356,87.6,89.3
CHARLOTTETOWN JUNIOR PUBLIC SCHOOL,210,90,91.9
CHARTLAND JUNIOR PUBLIC SCHOOL,91,100,100
CHEROKEE PUBLIC SCHOOL,88,92,90.9
CHESTER ELEMENTARY SCHOOL,218,91.7,94
CHESTER LE JUNIOR PUBLIC SCHOOL,70,87.1,90
CHIEF DAN GEORGE PUBLIC SCHOOL,201,91,94
CHILDREN'S GARDEN JUNIOR SCHOOL,59,52.5,64.4
CHINE DRIVE PUBLIC SCHOOL,92,93.5,93.5
CHURCH STREET JUNIOR PUBLIC SCHOOL,145,91,90.3
CHURCHILL HEIGHTS PUBLIC SCHOOL,278,96,95.7
