school_name,enrolled_population,dtp_coverage_rate_percent,mmr_coverage_rate_percent
Danforth C. I. and Technical School,945,86.8,96.4
Danforth Gardens P.S.,356,93.3,92.1
Dante Alighieri Academy,785,82.2,92.6
D'Arcy McGee C.S.,217,94.5,95.4
David and Mary Thomson C.I.,937,87,94.7
David Hornell Jr School,140,91.4,91.4
David Lewis P.S.,344,95.1,95.9
Davisville Jr P.S.,304,96.1,95.7
Daystrom P.S.,235,96.6,98.3
Deer Park Jr & Sr P.S.,404,91.6,94.1
Delphi Secondary Alternative,84,79.8,94
Delta Senior Alternative,60,88.3,88.3
Denlow P.S.,259,96.5,96.5
Dennis Avenue Community School,54,90.7,94.4
Derrydown P.S.,231,94.8,94.8
Dewson Street Jr P.S.,300,93.3,93.7
Diefenbaker Elementary,247,91.9,94.7
Dixon Grove JMS,594,89.9,93.9
Don Mills C.I.,935,86.5,95.7
Don Mills Middle School,409,88.8,93.4
Don Valley Jr H.S.,363,92.6,96.4
Donview Middle Health & Wellness Academy,356,85.4,92.4
Donwood Park Jr P.S.,449,90.9,91.5
Dorset Park P.S.,159,91.8,96.2
Dovercourt P.S.,293,91.8,93.2
Downsview P.S.,121,95.9,95
Downsview S.S.,501,79.2,90.2
Downtown Alternative School,66,92.4,90.9
Downtown Vocal Music Academy of Toronto,47,87.2,89.4
Dr Marion Hilliard Sr P.S.,269,89.6,96.3
Dr Norman Bethune C.I.,932,90.1,98
Drewry S.S.,49,81.6,89.8
Driftwood P.S.,240,90.4,92.1
Dublin Heights EMS,631,91,91.9
Duke of Connaught Jr & Sr P.S.,695,94.2,96
Dundas Jr P.S.,206,95.1,94.2
Dunlace P.S.,209,96.7,95.7
Earl Beatty Jr & Sr P.S.,277,95.3,94.9
Earl Grey Sr P.S.,452,89.6,96.7
Earl Haig P.S.,372,94.4,96.8
Earl Haig S.S.,1810,87.3,96.6
East Alternative School of Toronto,62,91.9,96.8
East York Alternative S.S.,60,90,100
East York C.I.,1003,85.6,94.9
Eastdale C.I.,95,84.2,96.8
Eastview P.S.,226,86.3,89.4
Eatonville Junior School,131,96.2,95.4
Ecole elementaire Charles-Sauriol,205,84.9,86.8
Ecole elementaire etienne-Brule,151,76.8,86.1
Ecole elementaire Felix-Leclerc,124,79,80.6
Ecole elementaire Gabrielle-Roy,159,85.5,85.5
Ecole elementaire Jeanne-Lajoie,252,82.1,85.7
Ecole elementaire La Mosaique,273,88.6,90.8
