school_name,enrolled_population,dtp_coverage_rate_percent,mmr_coverage_rate_percent
St Edmund Campion C.S.,185,91.9,90.8
St Edward C.S.,336,90.8,90.8
St Elizabeth C.S.,167,79.6,86.2
St Elizabeth Seton C.S.,116,89.7,94
St Eugene C.S.,263,87.5,89.7
St Fidelis C.S.,438,88.4,89.7
St Florence C.S.,141,82.3,87.9
St Francis De Sales C.S.,334,86.8,87.7
St Francis of Assisi C.S.,123,87.8,93.5
St Francis Xavier C.S.,372,85.2,87.6
St Gabriel C.S.,227,76.7,78
St Gabriel Lalemant C.S.,105,90.5,95.2
St George's Jr,113,93.8,94.7
St Gerald C.S.,212,83,83
St Gregory C.S.,530,90.4,89.6
St Helen C.S.,289,90.3,93.1
St Henry C.S.,179,88.3,89.9
St Ignatius of Loyola C.S.,91,87.9,89
St Isaac Jogues C.S.,259,84.2,85.3
St James C.S.,131,86.3,87.8
St Jane Frances C.S.,517,87.8,89.7
St Jean De Brebeuf C.S.,159,93.1,92.5
St Jerome C.S.,372,84.4,88.7
St John Bosco C.S.,238,90.3,90.3
St John C.S.,336,89.9,93.5
St John The Evangelist C.S.,306,85.6,87.6
St John Vianney C.S.,282,86.9,86.2
St Josaphat C.S.,108,77.8,76.9
St Joseph C.S.,151,94,93.4
St Joseph's College,758,85,92.5
St Josephs Morrow Park H.S.,459,81.3,88.5
St Jude C.S.,542,86.5,91
St Kevin C.S.,180,88.3,90.6
St Lawrence C.S.,329,90.9,92.1
St Leo C.S.,200,84,86.5
St Louis C.S.,145,90.3,91
St Luigi C.S.,99,84.8,84.8
St Malachy C.S.,214,86.9,90.7
St Marcellus C.S.,286,81.1,82.9
St Margaret C.S.,474,87.8,85
St Margaret's P.S.,199,89.4,93.5
St Marguerite Bourgeoys C.S.,69,88.4,91.3
St Maria Goretti C.S.,717,89.7,90.8
St Mark C.S.,144,83.3,84.7
St Martha C.S.,162,84.6,87
St Martin De Porres C.S.,302,82.8,87.4
St Mary C.S.,219,87.7,90
St Mary of The Angels C.S.,167,93.4,93.4
St Mary's Catholic S.S.,650,76.9,87.8
St Matthew C.S.,378,93.1,94.7
St Matthias C.S.,202,81.2,83.2
St Maurice C.S.,204,85.8,87.7
St Michael C.S.,129,82.9,90.7
St Michael's Choir Jr School,169,92.9,94.1
St Michael's Choir Sr School,88,83,95.5
St Monica C.S.,223,84.8,90.1
St Nicholas C.S.,273,89,90.1
St Nicholas of Bari C.S.,454,91.9,92.1
St Norbert C.S.,243,88.1,88.5
St Oscar Romero Catholic S.S.,627,84.1,93.9
St Paschal Baylon C.S.,522,84.7,82.6
St Patrick Catholic S.S.,728,83.8,90.4
St Paul C.S.,123,83.7,83.7
St Pius X C.S.,373,89.5,90.9
St Raphael C.S.,367,86.1,89.4
St Rene Goupil C.S.,95,57.9,57.9
St Richard C.S.,302,89.1,92.4
St Rita C.S.,66,83.3,90.9
St Robert C.S.,441,89.6,87.5
St Roch C.S.,253,88.9,92.9
St Rose of Lima C.S.,325,89.5,88.6
St Sebastian C.S.,152,92.8,94.1
St Simon C.S.,384,88.5,90.4
St Stephen C.S.,294,88.8,88.1
St Sylvester C.S.,130,88.5,90
St Teresa C.S.,182,81.9,87.4
St Theresa Shrine C.S.,157,94.3,94.9
St Thomas Aquinas C.S.,401,84.8,88.8
St Thomas More C.S.,235,86.4,88.9
St Timothy C.S.,456,88.8,88.8
St Ursula C.S.,184,92.9,93.5
St Victor C.S.,235,89.8,93.2
St Vincent de Paul C.S.,244,89.8,89.8
St Wilfrid C.S.,472,80.5,83.5
St. Basil The Great College,1258,86.2,95.1
St. John Paul II Catholic S.S.,1276,86.8,97.2
St. John XXIII C.S.,305,80.7,78.4
St. Kateri Tekakwitha C.S.,213,78.9,78.4
St. Mother Teresa Catholic Academy,413,83.5,90.1
Stanley P.S.,209,94.7,95.2
Steelesview P.S.,200,98.5,97.5
Stella Maris C.S.,263,91.6,92.8
Stephen Leacock C.I.,511,82.2,93.2
Stilecroft P.S.,138,96.4,94.2
Sts Cosmas and Damian C.S.,261,87.7,87.7
Subway Academy I,21,71.4,81
Subway Academy II,19,78.9,78.9
Summit Heights P.S.,274,97.4,96.7
Sunny View Jr & Sr P.S.,67,83.6,86.6
Sunnylea Jr School,178,96.6,96.6
Swansea Jr & Sr P.S.,642,94.4,96
Tam O'Shanter Jr P.S.,202,97,95.5
Taylor Creek P.S.,275,96.4,98.5
Tecumseh Senior P.S.,263,88.6,96.2
Terraview-Willowfield P.S.,202,93.1,93.6
Terry Fox P.S.,282,96.8,98.9
The Divine Infant C.S.,82,87.8,90.2
The Elms JMS,287,93,94.8
The Grove Community School,76,80.3,80.3
The Holy Trinity C.S.,317,82,84.2
The Student School,22,77.3,95.5
The Waterfront School,142,94.4,92.3
Thistletown C.I.,441,82.8,97.1
Thomas L Wells P.S.,396,96.2,99.2
Thorncliffe Park P.S.,1108,95.8,96
Three Valleys P.S.,173,95.4,95.4
Timberbank Jr P.S.,152,98,94.7
Tom Longboat Jr P.S.,178,96.6,93.8
Topcliff P.S.,210,96.7,98.6
Transfiguration of Our Lord C.S.,320,87.2,91.3
Tredway Woodsworth P.S.,587,94,95.9
Tumpane P.S.,232,94.4,95.3
Twentieth Street Jr School,94,89.4,90.4
Ursula Franklin Academy,521,83.7,95.2
Valley Park Middle School,964,90.2,91.2
Valleyfield Jr School,208,89.4,91.3
Venerable John Merlini C.S.,210,88.1,93.8
Victoria Park C.I.,1173,86.9,96.2
Victoria Park Elementary,92,98.9,100
Victoria Village P.S.,132,89.4,90.2
Vradenburg Jr P.S.,145,98.6,98.6
Walter Perry Jr P.S.,189,89.9,93.1
Warren Park Jr P.S.,111,87.4,87.4
Wedgewood Jr School,240,96.3,98.3
Wellesworth Jr School,96,87.5,88.5
West End Alternative,49,81.6,89.8
West Glen Jr School,98,93.9,89.8
West Hill C.I.,631,83.8,95.7
West Hill P.S.,150,90.7,90
West Humber C.I.,1016,85.2,96.1
West Humber JMS,341,94.1,93.5
West Preparatory Jr P.S.,341,94.1,94.1
West Rouge Jr P.S.,199,91.5,91.5
Western Technical & Commercial School,975,80.3,93.7
Westmount Jr School,123,89.4,93.5
Weston C.I.,894,84.2,95.3
Weston Memorial Jr P.S.,157,97.5,98.1
Westview Centennial S.S.,763,81.3,93.8
Westway Jr School,122,94.3,95.9
Westwood Middle School,373,90.3,95.2
Wexford Collegiate School for The Arts,1084,84,96.5
Wexford P.S.,250,91.2,92
White Haven Jr P.S.,350,94.9,96
Whitney Jr P.S.,161,95.7,95.7
Wilkinson Jr P.S.,316,97.8,96.8
William Burgess Elementary,202,91.1,91.1
William G Davis Jr P.S.,170,98.8,95.9
William G Miller Jr P.S.,373,93.8,96
William J McCordic School,52,46.2,84.6
William Lyon Mackenzie C.I.,1377,84.9,94.6
Williamson Road Jr P.S.,356,97.2,96.9
Willow Park Jr P.S.,216,97.2,99.1
Willowdale Middle School,542,92.6,94.6
Wilmington Elementary,101,92.1,90.1
Winchester Jr & Sr P.S.,343,91.3,93.3
Windfields Middle School,661,91.8,95.2
Winona Drive Senior P.S.,414,87.4,94.2
Winston Churchill C.I.,517,87,96.5
Withrow Avenue Jr P.S.,366,96.2,95.6
Woburn C.I.,877,88.6,98.5
Woburn Jr P.S.,225,98.7,98.7
Woodbine Jr H.S.,347,89.6,90.2
York Humber H.S.,122,86.9,93.4
York Memorial C.I.,876,86.8,96.3
York Mills C.I.,1200,86.3,97.2
Yorkview P.S.,256,93.8,93
Yorkwoods P.S.,224,88.4,91.5
Zion Heights Jr H.S.,592,94.4,96.5
